Date,Name,Amt,Mode,Categorization,Status,Time of the Day,Day of the Week,Type of Expense
01-01-2021,Mobile Recharge,456.9,Auto Debit,Utilities,Necessary,Morning,Friday,Fixed
01-01-2021,Water Bill,363.21,Auto Debit,Utilities,Necessary,Morning,Friday,Fixed
01-01-2021,Whiskey,459,UPI,Alcohol,Avoidable,Morning,Friday,Variable
01-01-2021,Beer,476,Debit Card,Alcohol,Avoidable,Morning,Friday,Variable
01-01-2021,Betting,4552.46,Wallet,Gambling,Avoidable,Morning,Friday,Variable
01-01-2021,Internet,598.51,Auto Debit,Utilities,Necessary,Afternoon,Friday,Fixed
01-01-2021,Grocery,169.63,Debit Card,Food,Unnecessary,Afternoon,Friday,Variable
01-01-2021,Vegetables,55.9,UPI,Food,Avoidable,Afternoon,Friday,Variable
01-01-2021,Wine,456,Wallet,Alcohol,Avoidable,Afternoon,Friday,Variable
01-01-2021,Electricity Bill,3942.1,Auto Debit,Utilities,Necessary,Evening,Friday,Fixed
01-01-2021,Gaming,365.18,Debit Card,Entertainment,Avoidable,Evening,Friday,Variable
01-01-2021,Restaurant,466.53,Net Banking,Food,Avoidable,Evening,Friday,Variable
01-01-2021,Milk,48.58,Wallet,Groceries,Necessary,Evening,Friday,Variable
01-01-2021,Cocktail,445,UPI,Alcohol,Avoidable,Evening,Friday,Variable
01-01-2021,Watches,14704.69,UPI,Luxury,Avoidable,Evening,Friday,Variable
01-01-2021,Fruits,90.97,Debit Card,Food,Unnecessary,Night,Friday,Variable
01-01-2021,Betting,4883.17,Wallet,Gambling,Avoidable,Night,Friday,Variable
02-01-2021,Cigarettes,468.4,Cash,Tobacco,Avoidable,Morning,Saturday,Variable
02-01-2021,Rice,97.3,Cash,Groceries,Necessary,Afternoon,Saturday,Variable
02-01-2021,Casino,4103.5,Credit Card,Gambling,Avoidable,Afternoon,Saturday,Variable
02-01-2021,Shoes,6570,Cash,Shopping,Unnecessary,Afternoon,Saturday,Variable
02-01-2021,Gaming,455.13,Net Banking,Entertainment,Unnecessary,Night,Saturday,Variable
02-01-2021,Milk,52.49,Net Banking,Groceries,Unnecessary,Night,Saturday,Variable
02-01-2021,Accessories,6712,Cash,Shopping,Unnecessary,Night,Saturday,Variable
02-01-2021,Cigarettes,379.03,Wallet,Tobacco,Avoidable,Night,Saturday,Variable
03-01-2021,Gaming,414.17,Net Banking,Entertainment,Avoidable,Morning,Sunday,Variable
03-01-2021,Movie,543.01,Net Banking,Entertainment,Unnecessary,Morning,Sunday,Variable
03-01-2021,Vegetables,94.78,UPI,Food,Unnecessary,Morning,Sunday,Variable
03-01-2021,Gym Membership,3000,UPI,Healthcare,Unnecessary,Afternoon,Sunday,Fixed
03-01-2021,Grocery,134.31,Credit Card,Food,Unnecessary,Afternoon,Sunday,Variable
03-01-2021,Milk,53.59,UPI,Groceries,Unnecessary,Afternoon,Sunday,Variable
03-01-2021,Hookah,388.94,Debit Card,Tobacco,Avoidable,Evening,Sunday,Variable
03-01-2021,Fruits,95.08,Net Banking,Food,Unnecessary,Night,Sunday,Variable
03-01-2021,Pizza,260.55,Wallet,Food,Avoidable,Night,Sunday,Variable
03-01-2021,Eggs,62.78,Wallet,Food,Unnecessary,Night,Sunday,Variable
03-01-2021,Hookah,333.41,Wallet,Tobacco,Avoidable,Night,Sunday,Variable
04-01-2021,Milk,40.18,Net Banking,Groceries,Necessary,Morning,Monday,Variable
04-01-2021,Jewelry,6301.86,Debit Card,Luxury,Avoidable,Morning,Monday,Variable
04-01-2021,Doctor Fee,667.73,Credit Card,Healthcare,Necessary,Night,Monday,Variable
05-01-2021,Vegetables,95.89,UPI,Food,Avoidable,Morning,Tuesday,Variable
05-01-2021,Uber,1020,Debit Card,Transport,Avoidable,Morning,Tuesday,Variable
05-01-2021,Doctor Fee,1060.35,UPI,Healthcare,Necessary,Morning,Tuesday,Variable
05-01-2021,Clothes,4142,Credit Card,Shopping,Avoidable,Afternoon,Tuesday,Variable
05-01-2021,Fast Food,758.54,Net Banking,Dining Out,Unnecessary,Evening,Tuesday,Variable
05-01-2021,Eggs,60.39,Wallet,Food,Unnecessary,Evening,Tuesday,Variable
05-01-2021,Milk,50.11,Net Banking,Groceries,Necessary,Evening,Tuesday,Variable
05-01-2021,Therapy,258,Credit Card,Healthcare,Necessary,Evening,Tuesday,Variable
05-01-2021,Concert,3943.29,Cash,Entertainment,Unnecessary,Night,Tuesday,Variable
05-01-2021,Coffee,107.08,Cash,Food & Dining,Avoidable,Night,Tuesday,Variable
05-01-2021,Fruits,90.92,Debit Card,Food,Unnecessary,Night,Tuesday,Variable
05-01-2021,Grocery,156.77,Wallet,Food,Avoidable,Night,Tuesday,Variable
05-01-2021,Vape,426.38,Debit Card,Tobacco,Avoidable,Night,Tuesday,Variable
06-01-2021,Fine Dining,6829.25,Wallet,Dining Out,Avoidable,Morning,Wednesday,Variable
06-01-2021,Doctor Fee,372.97,Wallet,Healthcare,Necessary,Morning,Wednesday,Variable
06-01-2021,Books,337.97,Debit Card,Entertainment,Unnecessary,Afternoon,Wednesday,Variable
06-01-2021,Burger,96.05,UPI,Food & Dining,Unnecessary,Afternoon,Wednesday,Variable
06-01-2021,Milk,40.78,Cash,Groceries,Unnecessary,Afternoon,Wednesday,Variable
06-01-2021,Gaming,360.55,Debit Card,Entertainment,Avoidable,Night,Wednesday,Variable
06-01-2021,Handbags,11410.92,UPI,Luxury,Avoidable,Night,Wednesday,Variable
07-01-2021,Tuition Fee,17500,Debit Card,Education,Unnecessary,Morning,Thursday,Fixed
07-01-2021,Milk,48.23,UPI,Groceries,Necessary,Morning,Thursday,Variable
07-01-2021,Pizza,286.93,Credit Card,Food,Unnecessary,Afternoon,Thursday,Variable
07-01-2021,Vegetables,79.48,Net Banking,Food,Avoidable,Afternoon,Thursday,Variable
07-01-2021,Netflix,593.34,Net Banking,Entertainment,Avoidable,Night,Thursday,Fixed
07-01-2021,Fruits,97.33,Credit Card,Food,Unnecessary,Night,Thursday,Variable
07-01-2021,Grocery,147.79,Credit Card,Food,Avoidable,Night,Thursday,Variable
07-01-2021,Rice,104.91,Debit Card,Groceries,Unnecessary,Night,Thursday,Variable
08-01-2021,Coffee,177.18,Cash,Food & Dining,Unnecessary,Morning,Friday,Variable
08-01-2021,Restaurant,646.94,Credit Card,Food,Avoidable,Morning,Friday,Variable
08-01-2021,Taxi,424,Debit Card,Transport,Avoidable,Morning,Friday,Variable
08-01-2021,Betting,592.05,Credit Card,Gambling,Avoidable,Afternoon,Friday,Variable
08-01-2021,Concert,3138.04,Debit Card,Entertainment,Avoidable,Evening,Friday,Variable
08-01-2021,Milk,44.31,UPI,Groceries,Unnecessary,Evening,Friday,Variable
08-01-2021,Fuel,766,Wallet,Transport,Unnecessary,Night,Friday,Variable
09-01-2021,Coffee,132.12,Debit Card,Food & Dining,Unnecessary,Morning,Saturday,Variable
09-01-2021,Milk,44.6,UPI,Groceries,Unnecessary,Morning,Saturday,Variable
09-01-2021,Vegetables,94.87,Debit Card,Food,Unnecessary,Morning,Saturday,Variable
09-01-2021,Wine,498,Credit Card,Alcohol,Avoidable,Morning,Saturday,Variable
09-01-2021,Books,296.93,UPI,Entertainment,Avoidable,Afternoon,Saturday,Variable
09-01-2021,Grocery,160.19,Credit Card,Food,Unnecessary,Afternoon,Saturday,Variable
09-01-2021,Lottery,3772.7,Net Banking,Gambling,Avoidable,Afternoon,Saturday,Variable
09-01-2021,Perfumes,5844.51,Cash,Luxury,Avoidable,Afternoon,Saturday,Variable
09-01-2021,Fruits,90.01,Debit Card,Food,Avoidable,Evening,Saturday,Variable
